"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL137897";"";"None";"379.42";"0";"2.78";"13i";"O=C(NCCc1ccccn1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"12.71";"0.24";"2.04";"4.21";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"15.0"
"CHEMBL152922";"";"None";"429.28";"0";"4.59";"6";"CC(=O)OCN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"16.04";"0.35";"2.30";"7.48";"0";"CHEMBL675513";"Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK)";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1145931";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"0.13"
"CHEMBL103552";"LAVENDUSTIN A";"None";"381.38";"0";"3.41";"1";"O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O";"IC50";"'='";"0.0044";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"0.0044"
"CHEMBL140774";"";"None";"364.40";"0";"3.35";"13e";"O=C(NCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"13.99";"0.26";"1.75";"5.01";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"8.0"
"CHEMBL137829";"";"None";"412.87";"0";"4.04";"13f";"O=C(NCCc1ccc(Cl)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"46000.0";"nM";"4.34";"";"";"UO_0000065";"10.51";"0.20";"0.30";"4.26";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"46.0"
"CHEMBL341946";"";"None";"392.46";"0";"3.78";"13j";"O=C(NCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"15.29";"0.28";"2.22";"5.89";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"1.0"
"CHEMBL138698";"";"None";"362.43";"0";"3.68";"23";"O=C(NCCc1ccccc1)c1cccc(NCc2cc(O)ccc2O)c1";"IC50";"'='";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"500.0"
"CHEMBL137828";"";"None";"457.32";"0";"4.15";"13c";"O=C(NCCc1ccc(Br)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"35000.0";"nM";"4.46";"";"";"UO_0000065";"9.74";"0.21";"0.31";"4.38";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"35.0"
"CHEMBL5438568";"";"None";"501.83";"1";"3.24";"53";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O";"IC50";"'='";"158.49";"nM";"6.80";"";"";"UO_0000065";"13.55";"0.27";"3.56";"5.30";"0";"CHEMBL5325032";"Inhibition of C-terminal his6-tagged mouse EGFR by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL5321292";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"INHIBITOR";"";"6.8"
"CHEMBL485258";"LAVENDUSTIN B";"None";"365.39";"0";"3.71";"2";"O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O";"IC50";"'='";"0.49";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1012121";"Inhibition of mouse EGFR by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1147320";"1";"Scientific Literature";"J Nat Prod";"1989";"None";"";"";"";"0.49"
